x	y	headinng	sonar_ang	read	Expected 20	Expected 25	Expected 30	Expected 35	Expected 40	Expected 45	Expected 50	Erro 20	Erro 25	Erro 30	Erro 35	Erro 40	Erro 45	Erro 50	Linhas ruins
59	66	0	-57	107	82,2783126831	77,8257675171	74,0735321045	71,1832962036	69,0156555176	67,4744796753	66,4956512451	611,1618237943	19,8251584554	14,0792705916	8,3534635627	4,6986661438	2,3752229768	0,9581050957	94,4931015172
59	66	0	-58	108	81,4221343994	77,7373733521	74,7496261597	71,6997833252	69,3965072632	67,7360687256	66,6486206055	706,3829398828	13,5774639762	8,9266332856	9,301541315	5,3050806178	2,7570561371	1,1825434139	106,7761798041
59	66	0	-59	255	80,6078948975	77,10912323	74,4444122314	72,2459945679	69,8029632568	68,0205001831	66,8227005005	30412,606322095	12,2414031812	7,1006847057	4,8330402235	5,9684019867	3,1771746092	1,4347240797	4349,6231072687
59	66	0	-60	108	79,8338546753	76,5140457153	74	72,1777496338	70,2357254028	68,3282241821	67,018157959	793,3317424525	11,0211315306	6,3204258588	3,3205963972	3,7714581136	3,638560907	1,716273509	117,5885983955
59	66	0	-61	255	79,0984039307	75,9510345459	73,5831375122	71,8889923096	70,69556427	68,6597595215	67,2353057861	30941,3714997398	9,9059340442	5,6069363622	2,8701279676	1,4242704856	4,1445009742	2,0290684442	4423,9074768597
59	66	0	-62	255	78,4000396729	75,4190597534	73,1931152344	71,6242675781	70,6476593018	69,0156555176	67,4744796753	31187,5459875504	8,8862412801	4,9548290019	2,4612829685	0,9537637255	2,6634363516	2,3752229768	4458,5486805507
59	66	0	-63	255	77,7373733521	74,9171600342	72,829284668	71,3831558228	70,5195922852	69,3965072632	67,7360687256	31422,0388061302	7,9536031583	4,3592235448	2,091288637	0,7457419835	1,2613199666	2,7570561371	4491,6010056511
59	66	0	-64	255	77,10912323	74,4444122314	72,4910049438	71,1652679443	70,4133987427	69,8029632568	68,0205001831	31645,1640380063	7,1006847057	3,8158000312	1,7575785919	0,5653072964	0,3726314824	3,1771746092	4523,1361735319
59	66	0	-65	255	76,5140457153	74	72,1777496338	70,9702453613	70,3289108276	70,2045822144	68,3282241821	31857,2358769086	6,3204258588	3,3205963972	1,458066568	0,4113099841	0,0154576041	3,5207194651	4553,1832075408
59	66	0	-66	255	75,9510345459	73,5831375122	71,8889923096	70,7977905273	70,2660064697	70,2045822144	68,6597595215	32058,5320301841	5,6069363622	2,8701279676	1,1907213295	0,2827942839	0,0037729391	2,3864771524	4581,5532657456
59	66	0	-67	255	75,4190597534	73,1931152344	71,6242675781	70,6476593018	70,2245864868	70,2045822144	69,0156555176	32249,3140998465	4,9548290019	2,4612829685	0,9537637255	0,1789906067	0,0004001709	1,4135466903	4608,46813043
59	66	0	-68	255	74,9171600342	72,829284668	71,3831558228	70,5195922852	70,2045822144	70,2045822144	69,3965072632	32429,8292501552	4,3592235448	2,091288637	0,7457419835	0,0992313447	0	0,6529851267	4633,9682458274
59	66	0	-69	255	74,4444122314	72,4910049438	71,1652679443	70,4133987427	70,2045822144	70,2045822144	69,8029632568	32600,3202744483	3,8158000312	1,7575785919	0,5653072964	0,0436043425	0	0,161297787	4658,0948374996
59	66	0	-70	255	74	72,1777496338	70,9702453613	70,3289108276	70,2045822144	70,2045822144	70,2045822144	32761	3,3205963972	1,458066568	0,4113099841	0,0154576041	0	0	4680,8864900791
59	66	0	-71	107	73,5831375122	71,8889923096	70,7977905273	70,2660064697	70,2045822144	70,2045822144	70,2045822144	1116,6866985281	2,8701279676	1,1907213295	0,2827942839	0,0037729391	0	0	160,1477307212
59	66	0	-72	106	73,1931152344	71,6242675781	70,6476593018	70,2245864868	70,2045822144	70,2045822144	70,2045822144	1076,291688025	2,4612829685	0,9537637255	0,1789906067	0,0004001709	0	0	154,2694464995
59	66	0	-73	106	72,829284668	71,3831558228	70,5195922852	70,2045822144	70,2045822144	70,2045822144	70,2045822144	1100,2963556387	2,091288637	0,7457419835	0,0992313447	0	0	0	157,6046596577
59	66	0	-74	73	72,4910049438	71,1652679443	70,4133987427	70,2045822144	70,2045822144	70,2045822144	70,2045822144	0,2590759672	1,7575785919	0,5653072964	0,0436043425	0	0	0	0,3750808854
59	66	0	-75	255	72,1777496338	70,9702453613	70,3289108276	70,2045822144	70,2045822144	70,2045822144	70,2045822144	33423,9752289655	1,458066568	0,4113099841	0,0154576041	0	0	0	4775,1228661603
